store_id,name,food_type,avg_rating,menu_items,business_hours,price_tier,price_range_rm,tags,is_synthetic_metadata
t7yj,real tomyam @ nasi kukus apollo,fried rice,4.6,"[""Chef Signature Rice"", ""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Dessert Special"", ""Fresh Juice"", ""Chicken Chop""]",Mon-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:default, price:premium, delivery, dine-in, takeaway, late-night",True
z5ut,diana corner,malaysian,4.4,"[""Satay Set"", ""Sambal Sotong"", ""Ikan Bakar"", ""Ayam Berempah"", ""Teh Tarik"", ""Laksa Utara""]",Mon-Sat 16:00-01:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, spicy, quick-bites, halal-friendly, late-night",True
t4qb,restoran al sarifa (bandar utama),roti canai,4.5,"[""Satay Set"", ""Ayam Berempah"", ""Sambal Sotong"", ""Nasi Goreng Kampung"", ""Roti Canai"", ""Mee Goreng Mamak""]",Mon-Sat 10:00-20:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, delivery, takeaway",True
t9mg,restoran faizul maju (uptown kota damansara),roti canai,4.5,"[""Mee Goreng Mamak"", ""Nasi Goreng Kampung"", ""Ikan Bakar"", ""Sambal Sotong"", ""Teh Tarik"", ""Roti Canai""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, takeaway, family-friendly, delivery",True
o4kk,maharani cafe,malaysian,4.3,"[""Satay Set"", ""Mee Goreng Mamak"", ""Laksa Utara"", ""Ikan Bakar"", ""Nasi Lemak Special"", ""Teh Tarik""]",Tue-Sun 09:00-18:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, halal-friendly, spicy, quick-bites",True
a8yw,tahu bakar station,malaysian,4.6,"[""Ikan Bakar"", ""Nasi Lemak Special"", ""Mee Goreng Mamak"", ""Ayam Berempah"", ""Teh Tarik"", ""Satay Set""]",Mon-Sat 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, delivery, halal-friendly, takeaway",True
o4nj,the gorpis @ uptown kota damansara,malaysian,4.7,"[""Teh Tarik"", ""Mee Goreng Mamak"", ""Nasi Goreng Kampung"", ""Satay Set"", ""Nasi Lemak Special"", ""Ikan Bakar""]",Mon-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, spicy, takeaway, halal-friendly",True
n8kn,fuel shack (shell kota damansara),burgers,4.6,"[""Onion Rings"", ""Mushroom Swiss Burger"", ""Curly Fries"", ""Classic Beef Burger"", ""Iced Lemon Tea"", ""Double Cheese Burger""]",Mon-Sat 07:00-15:00,premium,RM30-RM70,"cuisine:burgers, price:premium, dine-in, quick-bites, spicy",True
b9gy,restoran iskandar,roti canai,4.5,"[""Sambal Sotong"", ""Ikan Bakar"", ""Ayam Berempah"", ""Satay Set"", ""Nasi Goreng Kampung"", ""Roti Canai""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, family-friendly, halal-friendly, dine-in",True
ejst,aroma bistro,malaysian,4.0,"[""Nasi Lemak Special"", ""Teh Tarik"", ""Sambal Sotong"", ""Nasi Goreng Kampung"", ""Ikan Bakar"", ""Mee Goreng Mamak""]",Mon-Fri 09:00-18:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, spicy, family-friendly",True
e0zj,chop and grill,pasta,4.3,"[""Garlic Bread"", ""Seafood Marinara"", ""Mushroom Soup"", ""Bolognese"", ""Aglio Olio"", ""Carbonara""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:pasta, price:premium, quick-bites, delivery, takeaway",True
m411,warung wok (damansara),asian,4.6,"[""House Noodle"", ""Spicy Stir Fry"", ""Chicken Chop"", ""Seasonal Vegetables"", ""Soup of the Day"", ""Chef Signature Rice""]",Mon-Sun 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, dine-in, takeaway, quick-bites",True
hlfh,thai house restoran,fried rice,4.1,"[""Chicken Chop"", ""Soup of the Day"", ""Spicy Stir Fry"", ""Fresh Juice"", ""Chef Signature Rice"", ""Seasonal Vegetables""]",Tue-Sun 07:00-15:00,mid,RM15-RM35,"cuisine:default, price:mid, quick-bites, spicy, delivery",True
o2lk,restoran hidangan ara meranti,malaysian,4.4,"[""Nasi Lemak Special"", ""Ayam Berempah"", ""Teh Tarik"", ""Satay Set"", ""Laksa Utara"", ""Nasi Goreng Kampung""]",Mon-Sat 09:00-18:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, takeaway, delivery, spicy",True
d8qt,"d’laksa (aeon bandar utama, one utama)",laksa,4.6,"[""House Noodle"", ""Fresh Juice"", ""Seasonal Vegetables"", ""Dessert Special"", ""Soup of the Day"", ""Spicy Stir Fry""]",Mon-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:default, price:premium, delivery, halal-friendly, dine-in",True
g2ca,ara indah thai food,thai,4.6,"[""Thai Milk Tea"", ""Green Curry Chicken"", ""Tom Yum Seafood"", ""Basil Chicken Rice"", ""Som Tam"", ""Pad Thai""]",Mon-Fri 11:00-22:00,premium,RM30-RM70,"cuisine:thai, price:premium, delivery, quick-bites, takeaway",True
strb,restoran faizul maju (signature em hub),malaysian,4.1,"[""Nasi Lemak Special"", ""Nasi Goreng Kampung"", ""Roti Canai"", ""Ayam Berempah"", ""Sambal Sotong"", ""Satay Set""]",Mon-Sat 09:00-18:00,budget,RM8-RM20,"cuisine:malaysian, price:budget, takeaway, family-friendly, delivery",True
gdxg,daily fresh (the curve),pancakes & waffles,4.5,"[""Seasonal Vegetables"", ""House Noodle"", ""Chicken Chop"", ""Fresh Juice"", ""Soup of the Day"", ""Dessert Special""]",Mon-Fri 07:00-15:00,mid,RM15-RM35,"cuisine:default, price:mid, dine-in, takeaway, halal-friendly",True
n8qz,boat noodle (ikano),chicken,4.7,"[""Soup of the Day"", ""Chef Signature Rice"", ""Dessert Special"", ""Seasonal Vegetables"", ""House Noodle"", ""Spicy Stir Fry""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, dine-in, quick-bites",True
vdgz,lim fried oyster @ tea time restaurant,chinese,4.5,"[""Kung Pao Chicken"", ""Hot and Sour Soup"", ""Sweet and Sour Fish"", ""Claypot Chicken Rice"", ""Wantan Mee"", ""Yong Tau Foo""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:chinese, price:premium, quick-bites, halal-friendly, delivery",True
m3ey,chili's grill & bar (1 utama),beverages,4.5,"[""House Noodle"", ""Spicy Stir Fry"", ""Dessert Special"", ""Fresh Juice"", ""Chicken Chop"", ""Soup of the Day""]",Mon-Fri 11:00-22:00,mid,RM15-RM35,"cuisine:default, price:mid, family-friendly, quick-bites, halal-friendly",True
o4ql,shihlin taiwan street snacks (one utama),chicken,4.5,"[""Fresh Juice"", ""Soup of the Day"", ""Chicken Chop"", ""Dessert Special"", ""Spicy Stir Fry"", ""Seasonal Vegetables""]",Mon-Sat 12:00-23:00,premium,RM30-RM70,"cuisine:default, price:premium, delivery, spicy, quick-bites, late-night",True
r99h,a1 bistro,malaysian,4.8,"[""Satay Set"", ""Ayam Berempah"", ""Nasi Lemak Special"", ""Nasi Goreng Kampung"", ""Teh Tarik"", ""Sambal Sotong""]",Mon-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, delivery, halal-friendly, spicy",True
qn22,ss2 goreng pisang (1 utama),asian,4.4,"[""Chicken Chop"", ""Fresh Juice"", ""House Noodle"", ""Spicy Stir Fry"", ""Dessert Special"", ""Seasonal Vegetables""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, quick-bites, spicy, late-night",True
n9wj,domino’s pizza (bdr kota d'sara),pizza,4.1,"[""Chef Signature Rice"", ""Dessert Special"", ""House Noodle"", ""Chicken Chop"", ""Soup of the Day"", ""Seasonal Vegetables""]",Mon-Sat 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, family-friendly, delivery",True
spz5,the fish bowl (one utama),poke bowl,4.5,"[""House Noodle"", ""Fresh Juice"", ""Chef Signature Rice"", ""Seasonal Vegetables"", ""Spicy Stir Fry"", ""Soup of the Day""]",Mon-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, dine-in, spicy, late-night",True
ohza,o'briens irish sandwich cafe (1 utama shopping centre),sandwiches,4.6,"[""Seasonal Vegetables"", ""Spicy Stir Fry"", ""Soup of the Day"", ""Fresh Juice"", ""House Noodle"", ""Chef Signature Rice""]",Mon-Sat 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, quick-bites, halal-friendly",True
o6ij,samir mee tarik,noodles,4.4,"[""Fried Mee Hoon"", ""Fish Ball Noodle"", ""Barley Drink"", ""Dry Wantan Mee"", ""Pan Mee"", ""Curry Mee""]",Tue-Sun 16:00-01:00,mid,RM15-RM35,"cuisine:noodles, price:mid, family-friendly, quick-bites, halal-friendly, late-night",True
p6gw,senjyu (one utama),sushi,4.3,"[""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Soup of the Day"", ""Dessert Special"", ""Fresh Juice"", ""Chicken Chop""]",Tue-Sun 16:00-01:00,budget,RM8-RM20,"cuisine:default, price:budget, dine-in, takeaway, family-friendly, late-night",True
ghv5,nam heong ipoh (1 utama),noodles,4.3,"[""Curry Mee"", ""Dry Wantan Mee"", ""Fried Mee Hoon"", ""Barley Drink"", ""Pan Mee"", ""Fish Ball Noodle""]",Mon-Sun 11:00-22:00,mid,RM15-RM35,"cuisine:noodles, price:mid, family-friendly, delivery, quick-bites",True
lik3,carl's jr. (1 utama),burgers,4.3,"[""Classic Beef Burger"", ""Double Cheese Burger"", ""Onion Rings"", ""Mushroom Swiss Burger"", ""Spicy Chicken Burger"", ""Iced Lemon Tea""]",Mon-Sun 12:00-23:00,budget,RM8-RM20,"cuisine:burgers, price:budget, dine-in, delivery, quick-bites, late-night",True
m9jh,hotpot kitchen (1 utama),chinese,4.4,"[""Claypot Chicken Rice"", ""Wantan Mee"", ""Char Kuey Teow"", ""Hot and Sour Soup"", ""Sweet and Sour Fish"", ""Yong Tau Foo""]",Tue-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:chinese, price:mid, delivery, spicy, halal-friendly",True
m4ys,breadstory (1utama),sandwiches,4.6,"[""Dessert Special"", ""Spicy Stir Fry"", ""Fresh Juice"", ""Soup of the Day"", ""Seasonal Vegetables"", ""House Noodle""]",Mon-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, takeaway, family-friendly",True
wjc1,sukiya tokyo bowl and noodle (ipc shopping centre),asian,4.7,"[""Soup of the Day"", ""Fresh Juice"", ""Chef Signature Rice"", ""Dessert Special"", ""House Noodle"", ""Seasonal Vegetables""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, quick-bites, family-friendly",True
q2mn,lan je steam fish (kd) 万撓籣姐一人一鱼,seafood,4.7,"[""Seasonal Vegetables"", ""Soup of the Day"", ""Spicy Stir Fry"", ""Fresh Juice"", ""Dessert Special"", ""Chef Signature Rice""]",Mon-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, takeaway, delivery",True
hux7,richeese factory (1 utama),asian,4.3,"[""House Noodle"", ""Chicken Chop"", ""Fresh Juice"", ""Soup of the Day"", ""Dessert Special"", ""Spicy Stir Fry""]",Mon-Fri 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, quick-bites, dine-in, spicy",True
nemd,jollibee (citta mall),fast food,4.3,"[""Chef Signature Rice"", ""House Noodle"", ""Spicy Stir Fry"", ""Chicken Chop"", ""Seasonal Vegetables"", ""Dessert Special""]",Mon-Fri 07:00-15:00,budget,RM8-RM20,"cuisine:default, price:budget, dine-in, takeaway, delivery",True
ppl5,hungry piipol project,korean,4.4,"[""Kimchi Fried Rice"", ""Soondubu Jjigae"", ""Tteokbokki"", ""Korean Fried Chicken"", ""Jajangmyeon"", ""Bibimbap""]",Mon-Sat 07:00-15:00,premium,RM30-RM70,"cuisine:korean, price:premium, halal-friendly, dine-in, delivery",True
d9fb,nasi kandar penang road,nasi kandar,4.6,"[""Mee Goreng Mamak"", ""Laksa Utara"", ""Sambal Sotong"", ""Teh Tarik"", ""Nasi Lemak Special"", ""Roti Canai""]",Mon-Fri 12:00-23:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, spicy, family-friendly, late-night",True
pk6n,jom chá by farm fresh (1 utama shopping centre),beverages,4.6,"[""Dessert Special"", ""Chicken Chop"", ""Fresh Juice"", ""Soup of the Day"", ""Seasonal Vegetables"", ""House Noodle""]",Mon-Sat 10:00-20:00,premium,RM30-RM70,"cuisine:default, price:premium, spicy, dine-in, takeaway",True
coau,yasir nasi kandar,asian,4.3,"[""Dessert Special"", ""House Noodle"", ""Fresh Juice"", ""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Chicken Chop""]",Mon-Sun 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, spicy, halal-friendly, quick-bites",True
t3ol,restoran nasi kandar srb,indian,4.4,"[""Teh Masala"", ""Nasi Kandar Set"", ""Roti Canai Telur"", ""Butter Chicken"", ""Paneer Tikka"", ""Chicken Tandoori""]",Mon-Sat 16:00-01:00,mid,RM15-RM35,"cuisine:indian, price:mid, family-friendly, spicy, dine-in, late-night",True
k2ec,j.co donuts & coffee (the curve),bread,4.8,"[""Soup of the Day"", ""Seasonal Vegetables"", ""Chef Signature Rice"", ""Fresh Juice"", ""Dessert Special"", ""House Noodle""]",Tue-Sun 10:00-20:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, halal-friendly, family-friendly",True
n7ks,good taste restaurant (damansara jaya),chinese,4.4,"[""Claypot Chicken Rice"", ""Hot and Sour Soup"", ""Sweet and Sour Fish"", ""Char Kuey Teow"", ""Wantan Mee"", ""Yong Tau Foo""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:chinese, price:premium, dine-in, spicy, delivery",True
uaam,original penang kayu nasi kandar (citta mall),nasi kandar,4.5,"[""Roti Canai"", ""Satay Set"", ""Ayam Berempah"", ""Ikan Bakar"", ""Sambal Sotong"", ""Mee Goreng Mamak""]",Mon-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, halal-friendly, spicy, dine-in, late-night",True
g1n6,madam croffle (the curve),desserts,4.7,"[""Chicken Chop"", ""House Noodle"", ""Fresh Juice"", ""Soup of the Day"", ""Seasonal Vegetables"", ""Dessert Special""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, delivery, quick-bites",True
m0xs,q bistro nasi kandar (tesco mutiara damansara),malaysian,4.6,"[""Ayam Berempah"", ""Mee Goreng Mamak"", ""Teh Tarik"", ""Roti Canai"", ""Sambal Sotong"", ""Nasi Lemak Special""]",Tue-Sun 07:00-15:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, halal-friendly, delivery, quick-bites",True
xew9,restaurant jin xuan hong kong (damansara jaya),chinese,4.7,"[""Hot and Sour Soup"", ""Kung Pao Chicken"", ""Wantan Mee"", ""Yong Tau Foo"", ""Char Kuey Teow"", ""Sweet and Sour Fish""]",Mon-Sat 16:00-01:00,premium,RM30-RM70,"cuisine:chinese, price:premium, quick-bites, takeaway, spicy, late-night",True
r2fi,zus coffee (atria mall),coffee,4.8,"[""Fresh Juice"", ""Dessert Special"", ""Seasonal Vegetables"", ""Soup of the Day"", ""House Noodle"", ""Chef Signature Rice""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, halal-friendly, quick-bites, spicy, late-night",True
tdsp,kopitiam heung kee,chinese,4.5,"[""Yong Tau Foo"", ""Loh Mee"", ""Wantan Mee"", ""Kung Pao Chicken"", ""Hot and Sour Soup"", ""Char Kuey Teow""]",Tue-Sun 11:00-22:00,budget,RM8-RM20,"cuisine:chinese, price:budget, quick-bites, spicy, takeaway",True
qdfo,chagee (cittamall) 霸王茶姬,tea,4.7,"[""Spicy Stir Fry"", ""House Noodle"", ""Soup of the Day"", ""Fresh Juice"", ""Dessert Special"", ""Chef Signature Rice""]",Mon-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, spicy, halal-friendly, takeaway, late-night",True
y2e2,dapur balado kemangi,malaysian,4.3,"[""Mee Goreng Mamak"", ""Laksa Utara"", ""Satay Set"", ""Nasi Goreng Kampung"", ""Teh Tarik"", ""Nasi Lemak Special""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, spicy, delivery, family-friendly, late-night",True
s3vb,the humble food company ( damansara perdana ),pasta,4.6,"[""Garlic Bread"", ""Aglio Olio"", ""Bolognese"", ""Seafood Marinara"", ""Carbonara"", ""Lemon Soda""]",Tue-Sun 09:00-18:00,mid,RM15-RM35,"cuisine:pasta, price:mid, dine-in, family-friendly, spicy",True
xenz,q house 港湾茶餐厅 (damansara jaya),asian,4.6,"[""Spicy Stir Fry"", ""Dessert Special"", ""Fresh Juice"", ""Seasonal Vegetables"", ""Soup of the Day"", ""House Noodle""]",Mon-Sat 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, family-friendly, spicy, dine-in, late-night",True
c04l,satay warisan tokbah nasi lemak nekma (dp),nasi lemak,4.6,"[""Sambal Sotong"", ""Roti Canai"", ""Laksa Utara"", ""Ayam Berempah"", ""Teh Tarik"", ""Mee Goreng Mamak""]",Tue-Sun 11:00-22:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, dine-in, family-friendly, halal-friendly",True
j8zg,restoran mutiara d maju,roti canai,4.5,"[""Roti Canai"", ""Ikan Bakar"", ""Ayam Berempah"", ""Teh Tarik"", ""Sambal Sotong"", ""Nasi Lemak Special""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, halal-friendly, spicy, takeaway, late-night",True
k21f,butter burgers,burgers,4.5,"[""Mushroom Swiss Burger"", ""Iced Lemon Tea"", ""Curly Fries"", ""Spicy Chicken Burger"", ""Double Cheese Burger"", ""Onion Rings""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:burgers, price:premium, family-friendly, halal-friendly, delivery, late-night",True
o0nu,restoran nasi kandar salam (damansara utama ),malaysian,4.5,"[""Nasi Lemak Special"", ""Laksa Utara"", ""Satay Set"", ""Ayam Berempah"", ""Ikan Bakar"", ""Nasi Goreng Kampung""]",Tue-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, spicy, halal-friendly, delivery, late-night",True
o4wa,alfa maju curry house (kelana jaya),malaysian,4.2,"[""Ikan Bakar"", ""Sambal Sotong"", ""Laksa Utara"", ""Nasi Lemak Special"", ""Teh Tarik"", ""Roti Canai""]",Mon-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, delivery, halal-friendly, takeaway, late-night",True
q5pt,pizza express,pizza,4.3,"[""Chef Signature Rice"", ""Seasonal Vegetables"", ""Fresh Juice"", ""House Noodle"", ""Dessert Special"", ""Spicy Stir Fry""]",Mon-Sun 09:00-18:00,budget,RM8-RM20,"cuisine:default, price:budget, halal-friendly, delivery, takeaway",True
g5mo,mohammad wok kitchen (damansara perdana),malaysian,4.6,"[""Laksa Utara"", ""Mee Goreng Mamak"", ""Teh Tarik"", ""Satay Set"", ""Ikan Bakar"", ""Roti Canai""]",Mon-Fri 09:00-18:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, quick-bites, family-friendly, dine-in",True
nljj,gila burger,burgers,4.8,"[""Double Cheese Burger"", ""Spicy Chicken Burger"", ""Curly Fries"", ""Iced Lemon Tea"", ""Classic Beef Burger"", ""Mushroom Swiss Burger""]",Mon-Sat 09:00-18:00,premium,RM30-RM70,"cuisine:burgers, price:premium, spicy, halal-friendly, quick-bites",True
qqhw,spade's burger (damansara utama),burgers,4.6,"[""Curly Fries"", ""Iced Lemon Tea"", ""Onion Rings"", ""Double Cheese Burger"", ""Classic Beef Burger"", ""Mushroom Swiss Burger""]",Mon-Sat 12:00-23:00,premium,RM30-RM70,"cuisine:burgers, price:premium, takeaway, family-friendly, delivery, late-night",True
g4pw,chicken by won chicken rice (mutiara damansara),chicken,4.5,"[""Chef Signature Rice"", ""Spicy Stir Fry"", ""House Noodle"", ""Soup of the Day"", ""Dessert Special"", ""Fresh Juice""]",Mon-Fri 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, dine-in, quick-bites, delivery",True
u94g,taiwan canteen 台湾食堂 uptown damansara,chinese,4.6,"[""Kung Pao Chicken"", ""Char Kuey Teow"", ""Wantan Mee"", ""Claypot Chicken Rice"", ""Hot and Sour Soup"", ""Yong Tau Foo""]",Mon-Fri 11:00-22:00,premium,RM30-RM70,"cuisine:chinese, price:premium, spicy, dine-in, family-friendly",True
r9yn,ko ko kai chicken rice (mutiara damansara),chinese,4.6,"[""Claypot Chicken Rice"", ""Loh Mee"", ""Hot and Sour Soup"", ""Sweet and Sour Fish"", ""Char Kuey Teow"", ""Wantan Mee""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:chinese, price:premium, delivery, halal-friendly, takeaway",True
xuh3,eg's wok kitchen,asian,4.7,"[""Soup of the Day"", ""Dessert Special"", ""Fresh Juice"", ""Chicken Chop"", ""House Noodle"", ""Seasonal Vegetables""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, spicy, dine-in",True
jar7,warung jabit kj,asian,4.9,"[""Dessert Special"", ""Seasonal Vegetables"", ""Chef Signature Rice"", ""Soup of the Day"", ""Fresh Juice"", ""Chicken Chop""]",Tue-Sun 16:00-01:00,premium,RM30-RM70,"cuisine:default, price:premium, spicy, delivery, family-friendly, late-night",True
s2bg,restoran hathija maju (taman sea),roti canai,4.4,"[""Ikan Bakar"", ""Sambal Sotong"", ""Nasi Goreng Kampung"", ""Nasi Lemak Special"", ""Ayam Berempah"", ""Mee Goreng Mamak""]",Mon-Sat 11:00-22:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, dine-in, quick-bites, delivery",True
q5kx,kl food exchange (damansara perdana) (efmc),western,4.2,"[""Spicy Stir Fry"", ""Soup of the Day"", ""Seasonal Vegetables"", ""House Noodle"", ""Dessert Special"", ""Chef Signature Rice""]",Mon-Fri 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, family-friendly, takeaway, halal-friendly",True
r7dx,the toast spot (damansara perdana) (efmc),sandwiches,4.1,"[""House Noodle"", ""Dessert Special"", ""Chicken Chop"", ""Soup of the Day"", ""Fresh Juice"", ""Chef Signature Rice""]",Mon-Sun 12:00-23:00,mid,RM15-RM35,"cuisine:default, price:mid, spicy, dine-in, quick-bites, late-night",True
snx8,tokyo bowl express (damansara perdana) (efmc),japanese,4.1,"[""Matcha Latte"", ""Ramen Shoyu"", ""California Maki"", ""Unagi Don"", ""Tempura Udon"", ""Teriyaki Bento""]",Tue-Sun 11:00-22:00,premium,RM30-RM70,"cuisine:japanese, price:premium, delivery, halal-friendly, spicy",True
aacz,thai tomyam damansara uptown,thai,4.6,"[""Basil Chicken Rice"", ""Mango Sticky Rice"", ""Som Tam"", ""Pineapple Fried Rice"", ""Thai Milk Tea"", ""Green Curry Chicken""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:thai, price:premium, delivery, spicy, quick-bites",True
c4hd,warong bakso yuyuk,soups,4.5,"[""Seasonal Vegetables"", ""House Noodle"", ""Soup of the Day"", ""Dessert Special"", ""Spicy Stir Fry"", ""Chicken Chop""]",Mon-Sun 12:00-23:00,mid,RM15-RM35,"cuisine:default, price:mid, halal-friendly, dine-in, family-friendly, late-night",True
a1rg,suria garden cafe - kelana square,asian,4.7,"[""Seasonal Vegetables"", ""Chef Signature Rice"", ""Chicken Chop"", ""Fresh Juice"", ""Dessert Special"", ""Soup of the Day""]",Tue-Sun 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, halal-friendly, spicy, delivery",True
fmzn,avenue bistro (empire damansara),malaysian,4.4,"[""Nasi Goreng Kampung"", ""Nasi Lemak Special"", ""Teh Tarik"", ""Roti Canai"", ""Laksa Utara"", ""Satay Set""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, takeaway, dine-in, quick-bites, late-night",True
n7ib,vanakam kitchen,indian,4.1,"[""Butter Chicken"", ""Masala Dosa"", ""Nasi Kandar Set"", ""Roti Canai Telur"", ""Teh Masala"", ""Mutton Briyani""]",Tue-Sun 07:00-15:00,premium,RM30-RM70,"cuisine:indian, price:premium, spicy, family-friendly, halal-friendly",True
g5p5,the museum (starling mall),chinese,4.4,"[""Loh Mee"", ""Claypot Chicken Rice"", ""Char Kuey Teow"", ""Wantan Mee"", ""Kung Pao Chicken"", ""Sweet and Sour Fish""]",Mon-Fri 16:00-01:00,budget,RM8-RM20,"cuisine:chinese, price:budget, halal-friendly, quick-bites, delivery, late-night",True
q9ru,komo cafe @ ttdi,malaysian,4.5,"[""Ikan Bakar"", ""Satay Set"", ""Ayam Berempah"", ""Nasi Lemak Special"", ""Roti Canai"", ""Sambal Sotong""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, family-friendly, spicy, takeaway, late-night",True
s5zu,kaw kaw burger (damansara),burgers,4.7,"[""Onion Rings"", ""Double Cheese Burger"", ""Spicy Chicken Burger"", ""Curly Fries"", ""Mushroom Swiss Burger"", ""Iced Lemon Tea""]",Mon-Fri 10:00-20:00,premium,RM30-RM70,"cuisine:burgers, price:premium, family-friendly, takeaway, spicy",True
iuzk,baker's cottage (pj uptown),chicken rice,4.8,"[""Fresh Juice"", ""Spicy Stir Fry"", ""Seasonal Vegetables"", ""Soup of the Day"", ""Chicken Chop"", ""Chef Signature Rice""]",Mon-Fri 09:00-18:00,premium,RM30-RM70,"cuisine:default, price:premium, takeaway, delivery, spicy",True
s8ww,stiq (damansara),western,4.6,"[""Chicken Chop"", ""Seasonal Vegetables"", ""Dessert Special"", ""House Noodle"", ""Chef Signature Rice"", ""Fresh Juice""]",Mon-Sat 09:00-18:00,mid,RM15-RM35,"cuisine:default, price:mid, halal-friendly, quick-bites, family-friendly",True
npbn,mamak kitchen,roti canai,4.5,"[""Laksa Utara"", ""Satay Set"", ""Sambal Sotong"", ""Mee Goreng Mamak"", ""Ayam Berempah"", ""Nasi Lemak Special""]",Mon-Sat 09:00-18:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, halal-friendly, dine-in, family-friendly",True
m0bu,restoran jasima,roti canai,4.6,"[""Ikan Bakar"", ""Laksa Utara"", ""Sambal Sotong"", ""Mee Goreng Mamak"", ""Nasi Lemak Special"", ""Roti Canai""]",Mon-Sun 10:00-20:00,mid,RM15-RM35,"cuisine:malaysian, price:mid, halal-friendly, delivery, quick-bites",True
s0sn,the billboard kl,malaysian,4.6,"[""Roti Canai"", ""Ayam Berempah"", ""Nasi Lemak Special"", ""Satay Set"", ""Teh Tarik"", ""Mee Goreng Mamak""]",Mon-Fri 16:00-01:00,premium,RM30-RM70,"cuisine:malaysian, price:premium, spicy, takeaway, quick-bites, late-night",True
k5z0,nam chuan hainan kopitiam (pj),chinese,4.6,"[""Wantan Mee"", ""Kung Pao Chicken"", ""Claypot Chicken Rice"", ""Char Kuey Teow"", ""Hot and Sour Soup"", ""Loh Mee""]",Tue-Sun 12:00-23:00,premium,RM30-RM70,"cuisine:chinese, price:premium, delivery, quick-bites, spicy, late-night",True
